HHID,SchID,FSU_Slno,Round,Schedule,Sample,Sector,NSS_Region,State,State_District,District,Stratum,SubStratumNo,SubRound,FODSubRegion,SSS,hh_no,visitNo,Level,b9q2,b9q3,b9q4,NSC,MLT
533321011,771,53332,77,182,1,1,012,01,0106,06,06,21,1,0110,1,01,1,10,13,12,900,1,8400
533321021,771,53332,77,182,1,1,012,01,0106,06,06,21,1,0110,1,02,1,10,05,10,1000,1,8400
533321021,771,53332,77,182,1,1,012,01,0106,06,06,21,1,0110,1,02,1,10,11,5,400,1,8400
533321021,771,53332,77,182,1,1,012,01,0106,06,06,21,1,0110,1,02,1,10,13,15,1400,1,8400
533322011,771,53332,77,182,1,1,012,01,0106,06,06,21,1,0110,2,01,1,10,05,8,350,1,16800
533322011,771,53332,77,182,1,1,012,01,0106,06,06,21,1,0110,2,01,1,10,13,8,350,1,16800
533322021,771,53332,77,182,1,1,012,01,0106,06,06,21,1,0110,2,02,1,10,05,5,400,1,16800
533322021,771,53332,77,182,1,1,012,01,0106,06,06,21,1,0110,2,02,1,10,12,3,200,1,16800
533322021,771,53332,77,182,1,1,012,01,0106,06,06,21,1,0110,2,02,1,10,13,8,600,1,16800
533324011,771,53332,77,182,1,1,012,01,0106,06,06,21,1,0110,4,01,1,10,05,8,2500,1,8400
533324011,771,53332,77,182,1,1,012,01,0106,06,06,21,1,0110,4,01,1,10,11,3,300,1,8400
533324011,771,53332,77,182,1,1,012,01,0106,06,06,21,1,0110,4,01,1,10,13,11,2800,1,8400
533324021,771,53332,77,182,1,1,012,01,0106,06,06,21,1,0110,4,02,1,10,05,10,3000,1,8400
533324021,771,53332,77,182,1,1,012,01,0106,06,06,21,1,0110,4,02,1,10,11,4,400,1,8400
533324021,771,53332,77,182,1,1,012,01,0106,06,06,21,1,0110,4,02,1,10,13,14,3400,1,8400
533325011,771,53332,77,182,1,1,012,01,0106,06,06,21,1,0110,5,01,1,10,05,12,3600,1,72800
533325011,771,53332,77,182,1,1,012,01,0106,06,06,21,1,0110,5,01,1,10,11,5,500,1,72800
533325011,771,53332,77,182,1,1,012,01,0106,06,06,21,1,0110,5,01,1,10,13,17,4100,1,72800
533325021,771,53332,77,182,1,1,012,01,0106,06,06,21,1,0110,5,02,1,10,05,10,3500,1,72800
533325021,771,53332,77,182,1,1,012,01,0106,06,06,21,1,0110,5,02,1,10,11,3,200,1,72800
533325021,771,53332,77,182,1,1,012,01,0106,06,06,21,1,0110,5,02,1,10,13,13,3700,1,72800
533326011,771,53332,77,182,1,1,012,01,0106,06,06,21,1,0110,6,01,1,10,05,8,500,1,89600
533326011,771,53332,77,182,1,1,012,01,0106,06,06,21,1,0110,6,01,1,10,11,2,2000,1,89600
533326011,771,53332,77,182,1,1,012,01,0106,06,06,21,1,0110,6,01,1,10,13,10,2500,1,89600
533326021,771,53332,77,182,1,1,012,01,0106,06,06,21,1,0110,6,02,1,10,05,7,450,1,89600
533326021,771,53332,77,182,1,1,012,01,0106,06,06,21,1,0110,6,02,1,10,11,2,1500,1,89600
533326021,771,53332,77,182,1,1,012,01,0106,06,06,21,1,0110,6,02,1,10,13,9,1950,1,89600
533313011,771,53331,77,182,1,1,011,01,0107,07,07,31,1,0110,3,01,1,10,01,1,1500,2,62292
533313011,771,53331,77,182,1,1,011,01,0107,07,07,31,1,0110,3,01,1,10,05,8,2000,2,62292
533313011,771,53331,77,182,1,1,011,01,0107,07,07,31,1,0110,3,01,1,10,13,9,3500,2,62292
533313021,771,53331,77,182,1,1,011,01,0107,07,07,31,1,0110,3,02,1,10,01,1,1500,2,62292
533313021,771,53331,77,182,1,1,011,01,0107,07,07,31,1,0110,3,02,1,10,05,5,2000,2,62292
533313021,771,53331,77,182,1,1,011,01,0107,07,07,31,1,0110,3,02,1,10,13,6,3500,2,62292
533313031,771,53331,77,182,1,1,011,01,0107,07,07,31,1,0110,3,03,1,10,05,8,1000,2,62292
533313031,771,53331,77,182,1,1,011,01,0107,07,07,31,1,0110,3,03,1,10,13,8,1000,2,62292
533313041,771,53331,77,182,1,1,011,01,0107,07,07,31,1,0110,3,04,1,10,05,6,1800,2,62292
533313041,771,53331,77,182,1,1,011,01,0107,07,07,31,1,0110,3,04,1,10,13,6,1800,2,62292
533313051,771,53331,77,182,1,1,011,01,0107,07,07,31,1,0110,3,05,1,10,05,3,250,2,62292
533313051,771,53331,77,182,1,1,011,01,0107,07,07,31,1,0110,3,05,1,10,13,3,250,2,62292
533313061,771,53331,77,182,1,1,011,01,0107,07,07,31,1,0110,3,06,1,10,05,4,800,2,62292
533313061,771,53331,77,182,1,1,011,01,0107,07,07,31,1,0110,3,06,1,10,13,4,800,2,62292
533314011,771,53331,77,182,1,1,011,01,0107,07,07,31,1,0110,4,01,1,10,05,6,1000,2,249167
533314011,771,53331,77,182,1,1,011,01,0107,07,07,31,1,0110,4,01,1,10,13,6,1000,2,249167
533314021,771,53331,77,182,1,1,011,01,0107,07,07,31,1,0110,4,02,1,10,05,7,4000,2,249167
