HHID,SchID,FSU_Slno,Round,Schedule,Sample,Sector,NSS_Region,State,State_District,District,Stratum,SubStratumNo,SubRound,FODSubRegion,SSS,hh_no,visitNo,Level,b10q2,b10q3,NSC,MLT
533995011,771,53399,77,182,1,1,013,01,0109,09,09,31,1,0122,5,01,1,11,07,1500,2,12900
533995011,771,53399,77,182,1,1,013,01,0109,09,09,31,1,0122,5,01,1,11,15,1500,2,12900
533995011,771,53399,77,182,1,1,013,01,0109,09,09,31,1,0122,5,01,1,11,20,1500,2,12900
533995021,771,53399,77,182,1,1,013,01,0109,09,09,31,1,0122,5,02,1,11,07,2000,2,12900
533995021,771,53399,77,182,1,1,013,01,0109,09,09,31,1,0122,5,02,1,11,15,2000,2,12900
533995021,771,53399,77,182,1,1,013,01,0109,09,09,31,1,0122,5,02,1,11,20,2000,2,12900
533995031,771,53399,77,182,1,1,013,01,0109,09,09,31,1,0122,5,03,1,11,19,200,2,12900
533995031,771,53399,77,182,1,1,013,01,0109,09,09,31,1,0122,5,03,1,11,20,200,2,12900
533995041,771,53399,77,182,1,1,013,01,0109,09,09,31,1,0122,5,04,1,11,19,200,2,12900
533995041,771,53399,77,182,1,1,013,01,0109,09,09,31,1,0122,5,04,1,11,20,200,2,12900
533995051,771,53399,77,182,1,1,013,01,0109,09,09,31,1,0122,5,05,1,11,19,1000,2,12900
533995051,771,53399,77,182,1,1,013,01,0109,09,09,31,1,0122,5,05,1,11,20,1000,2,12900
533995061,771,53399,77,182,1,1,013,01,0109,09,09,31,1,0122,5,06,1,11,19,600,2,12900
533995061,771,53399,77,182,1,1,013,01,0109,09,09,31,1,0122,5,06,1,11,20,600,2,12900
533995071,771,53399,77,182,1,1,013,01,0109,09,09,31,1,0122,5,07,1,11,19,600,2,12900
533995071,771,53399,77,182,1,1,013,01,0109,09,09,31,1,0122,5,07,1,11,20,600,2,12900
533996021,771,53399,77,182,1,1,013,01,0109,09,09,31,1,0122,6,02,1,11,19,500,2,1038450
533996021,771,53399,77,182,1,1,013,01,0109,09,09,31,1,0122,6,02,1,11,20,500,2,1038450
533961011,771,53396,77,182,1,1,013,01,0112,12,12,31,1,0121,1,01,1,11,09,2150,1,82050
533961011,771,53396,77,182,1,1,013,01,0112,12,12,31,1,0121,1,01,1,11,15,2150,1,82050
533961011,771,53396,77,182,1,1,013,01,0112,12,12,31,1,0121,1,01,1,11,19,550,1,82050
533961011,771,53396,77,182,1,1,013,01,0112,12,12,31,1,0121,1,01,1,11,20,2700,1,82050
533961021,771,53396,77,182,1,1,013,01,0112,12,12,31,1,0121,1,02,1,11,09,3000,1,82050
533961021,771,53396,77,182,1,1,013,01,0112,12,12,31,1,0121,1,02,1,11,15,3000,1,82050
533961021,771,53396,77,182,1,1,013,01,0112,12,12,31,1,0121,1,02,1,11,19,2500,1,82050
533961021,771,53396,77,182,1,1,013,01,0112,12,12,31,1,0121,1,02,1,11,20,5500,1,82050
533964011,771,53396,77,182,1,1,013,01,0112,12,12,31,1,0121,4,01,1,11,09,2500,1,601700
533964011,771,53396,77,182,1,1,013,01,0112,12,12,31,1,0121,4,01,1,11,15,2500,1,601700
533964011,771,53396,77,182,1,1,013,01,0112,12,12,31,1,0121,4,01,1,11,19,7000,1,601700
533964011,771,53396,77,182,1,1,013,01,0112,12,12,31,1,0121,4,01,1,11,20,9500,1,601700
533965011,771,53396,77,182,1,1,013,01,0112,12,12,31,1,0121,5,01,1,11,18,5600,1,218800
533965011,771,53396,77,182,1,1,013,01,0112,12,12,31,1,0121,5,01,1,11,20,5600,1,218800
533945011,771,53394,77,182,1,1,013,01,0112,12,12,21,1,0121,5,01,1,11,10,4500,1,33000
533945011,771,53394,77,182,1,1,013,01,0112,12,12,21,1,0121,5,01,1,11,15,4500,1,33000
533945011,771,53394,77,182,1,1,013,01,0112,12,12,21,1,0121,5,01,1,11,20,4500,1,33000
533946011,771,53394,77,182,1,1,013,01,0112,12,12,21,1,0121,6,01,1,11,09,2500,1,63000
533946011,771,53394,77,182,1,1,013,01,0112,12,12,21,1,0121,6,01,1,11,15,2500,1,63000
533946011,771,53394,77,182,1,1,013,01,0112,12,12,21,1,0121,6,01,1,11,19,8500,1,63000
533946011,771,53394,77,182,1,1,013,01,0112,12,12,21,1,0121,6,01,1,11,20,11000,1,63000
533231011,771,53323,77,182,1,1,013,01,0113,13,13,31,1,0121,1,01,1,11,02,3200,1,55400
533231011,771,53323,77,182,1,1,013,01,0113,13,13,31,1,0121,1,01,1,11,15,3200,1,55400
533231011,771,53323,77,182,1,1,013,01,0113,13,13,31,1,0121,1,01,1,11,19,2800,1,55400
533231011,771,53323,77,182,1,1,013,01,0113,13,13,31,1,0121,1,01,1,11,20,6000,1,55400
533231021,771,53323,77,182,1,1,013,01,0113,13,13,31,1,0121,1,02,1,11,09,1800,1,55400
533231021,771,53323,77,182,1,1,013,01,0113,13,13,31,1,0121,1,02,1,11,15,1800,1,55400
533231021,771,53323,77,182,1,1,013,01,0113,13,13,31,1,0121,1,02,1,11,19,2000,1,55400
533231021,771,53323,77,182,1,1,013,01,0113,13,13,31,1,0121,1,02,1,11,20,3800,1,55400
533233011,771,53323,77,182,1,1,013,01,0113,13,13,31,1,0121,3,01,1,11,09,3500,1,318550
533233011,771,53323,77,182,1,1,013,01,0113,13,13,31,1,0121,3,01,1,11,15,3500,1,318550
533233011,771,53323,77,182,1,1,013,01,0113,13,13,31,1,0121,3,01,1,11,19,2000,1,318550
533233011,771,53323,77,182,1,1,013,01,0113,13,13,31,1,0121,3,01,1,11,20,5500,1,318550
533256011,771,53325,77,182,1,1,013,01,0114,14,14,21,1,0121,6,01,1,11,09,800,2,19000
533256011,771,53325,77,182,1,1,013,01,0114,14,14,21,1,0121,6,01,1,11,15,800,2,19000
533256011,771,53325,77,182,1,1,013,01,0114,14,14,21,1,0121,6,01,1,11,20,800,2,19000
533273011,771,53327,77,182,1,1,013,01,0114,14,14,31,1,0121,3,01,1,11,09,4000,2,1062075
533273011,771,53327,77,182,1,1,013,01,0114,14,14,31,1,0121,3,01,1,11,15,4000,2,1062075
533273011,771,53327,77,182,1,1,013,01,0114,14,14,31,1,0121,3,01,1,11,18,5000,2,1062075
533273011,771,53327,77,182,1,1,013,01,0114,14,14,31,1,0121,3,01,1,11,19,6000,2,1062075
533273011,771,53327,77,182,1,1,013,01,0114,14,14,31,1,0121,3,01,1,11,20,15000,2,1062075
533275011,771,53327,77,182,1,1,013,01,0114,14,14,31,1,0121,5,01,1,11,10,500,2,455175
533275011,771,53327,77,182,1,1,013,01,0114,14,14,31,1,0121,5,01,1,11,15,500,2,455175
533275011,771,53327,77,182,1,1,013,01,0114,14,14,31,1,0121,5,01,1,11,18,4000,2,455175
533275011,771,53327,77,182,1,1,013,01,0114,14,14,31,1,0121,5,01,1,11,20,4500,2,455175
533295021,771,53329,77,182,1,1,013,01,0115,15,15,31,1,0121,5,02,1,11,18,12000,2,448500
533295021,771,53329,77,182,1,1,013,01,0115,15,15,31,1,0121,5,02,1,11,19,25000,2,448500
533295021,771,53329,77,182,1,1,013,01,0115,15,15,31,1,0121,5,02,1,11,20,37000,2,448500
533221021,771,53322,77,182,1,1,013,01,0115,15,15,21,1,0121,1,02,1,11,09,2250,2,10500
533221021,771,53322,77,182,1,1,013,01,0115,15,15,21,1,0121,1,02,1,11,15,2250,2,10500
533221021,771,53322,77,182,1,1,013,01,0115,15,15,21,1,0121,1,02,1,11,19,1400,2,10500
533221021,771,53322,77,182,1,1,013,01,0115,15,15,21,1,0121,1,02,1,11,20,3650,2,10500
533223021,771,53322,77,182,1,1,013,01,0115,15,15,21,1,0121,3,02,1,11,13,3500,2,5250
533223021,771,53322,77,182,1,1,013,01,0115,15,15,21,1,0121,3,02,1,11,15,3500,2,5250
533223021,771,53322,77,182,1,1,013,01,0115,15,15,21,1,0121,3,02,1,11,20,3500,2,5250
533224011,771,53322,77,182,1,1,013,01,0115,15,15,21,1,0121,4,01,1,11,09,650,2,14700
533224011,771,53322,77,182,1,1,013,01,0115,15,15,21,1,0121,4,01,1,11,15,650,2,14700
533224011,771,53322,77,182,1,1,013,01,0115,15,15,21,1,0121,4,01,1,11,19,300,2,14700
533224011,771,53322,77,182,1,1,013,01,0115,15,15,21,1,0121,4,01,1,11,20,950,2,14700
533206021,771,53320,77,182,1,1,012,01,0105,05,05,32,2,0110,6,02,1,11,02,3300,2,527425
533206021,771,53320,77,182,1,1,012,01,0105,05,05,32,2,0110,6,02,1,11,09,600,2,527425
533206021,771,53320,77,182,1,1,012,01,0105,05,05,32,2,0110,6,02,1,11,15,3900,2,527425
533206021,771,53320,77,182,1,1,012,01,0105,05,05,32,2,0110,6,02,1,11,20,3900,2,527425
533266021,771,53326,77,182,1,1,012,01,0106,06,06,31,2,0110,6,02,1,11,19,25000,2,986000
533266021,771,53326,77,182,1,1,012,01,0106,06,06,31,2,0110,6,02,1,11,20,25000,2,986000
533131021,771,53313,77,182,1,1,011,01,0107,07,07,31,2,0110,1,02,1,11,09,500,2,57500
533131021,771,53313,77,182,1,1,011,01,0107,07,07,31,2,0110,1,02,1,11,15,500,2,57500
533131021,771,53313,77,182,1,1,011,01,0107,07,07,31,2,0110,1,02,1,11,19,3000,2,57500
533131021,771,53313,77,182,1,1,011,01,0107,07,07,31,2,0110,1,02,1,11,20,3500,2,57500
533131031,771,53313,77,182,1,1,011,01,0107,07,07,31,2,0110,1,03,1,11,11,50000,2,57500
533131031,771,53313,77,182,1,1,011,01,0107,07,07,31,2,0110,1,03,1,11,15,50000,2,57500
533131031,771,53313,77,182,1,1,011,01,0107,07,07,31,2,0110,1,03,1,11,18,6000,2,57500
533131031,771,53313,77,182,1,1,011,01,0107,07,07,31,2,0110,1,03,1,11,19,250000,2,57500
533131031,771,53313,77,182,1,1,011,01,0107,07,07,31,2,0110,1,03,1,11,20,306000,2,57500
533151031,771,53315,77,182,1,1,012,01,0116,16,16,31,2,0111,1,03,1,11,07,10000,2,107333
533151031,771,53315,77,182,1,1,012,01,0116,16,16,31,2,0111,1,03,1,11,08,28000,2,107333
533151031,771,53315,77,182,1,1,012,01,0116,16,16,31,2,0111,1,03,1,11,09,6000,2,107333
533151031,771,53315,77,182,1,1,012,01,0116,16,16,31,2,0111,1,03,1,11,10,1500,2,107333
533151031,771,53315,77,182,1,1,012,01,0116,16,16,31,2,0111,1,03,1,11,15,45500,2,107333
533151031,771,53315,77,182,1,1,012,01,0116,16,16,31,2,0111,1,03,1,11,20,45500,2,107333
533176011,771,53317,77,182,1,1,012,01,0116,16,16,11,2,0111,6,01,1,11,10,2500,1,45650
533176011,771,53317,77,182,1,1,012,01,0116,16,16,11,2,0111,6,01,1,11,15,2500,1,45650
533176011,771,53317,77,182,1,1,012,01,0116,16,16,11,2,0111,6,01,1,11,20,2500,1,45650
533122011,771,53312,77,182,1,1,012,01,0117,17,17,31,2,0111,2,01,1,11,18,1500,2,34200
533122011,771,53312,77,182,1,1,012,01,0117,17,17,31,2,0111,2,01,1,11,19,30000,2,34200
533122011,771,53312,77,182,1,1,012,01,0117,17,17,31,2,0111,2,01,1,11,20,31500,2,34200
533124021,771,53312,77,182,1,1,012,01,0117,17,17,31,2,0111,4,02,1,11,18,40000,2,34200
533124021,771,53312,77,182,1,1,012,01,0117,17,17,31,2,0111,4,02,1,11,19,8000,2,34200
