HHID,SchID,FSU_Slno,Round,Schedule,Sample,Sector,NSS_Region,State,State_District,District,Stratum,SubStratumNo,SubRound,FODSubRegion,SSS,hh_no,visitNo,Level,b13q1,b13q2,b13q3,b13q4,b13q5,NSC,MLT
533182012,771,53318,77,182,1,1,012,01,0120,20,20,11,2,0111,2,01,2,15,01,2,9,9,640,1,11100
533182012,771,53318,77,182,1,1,012,01,0120,20,20,11,2,0111,2,01,2,15,99,,,,640,1,11100
533182022,771,53318,77,182,1,1,012,01,0120,20,20,11,2,0111,2,02,2,15,01,4,9,9,6700,1,11100
533182022,771,53318,77,182,1,1,012,01,0120,20,20,11,2,0111,2,02,2,15,99,,,,6700,1,11100
533183012,771,53318,77,182,1,1,012,01,0120,20,20,11,2,0111,3,01,2,15,01,4,9,9,650,1,40700
533183012,771,53318,77,182,1,1,012,01,0120,20,20,11,2,0111,3,01,2,15,99,,,,650,1,40700
533183022,771,53318,77,182,1,1,012,01,0120,20,20,11,2,0111,3,02,2,15,01,3,9,9,1200,1,40700
533183022,771,53318,77,182,1,1,012,01,0120,20,20,11,2,0111,3,02,2,15,99,,,,1200,1,40700
533184022,771,53318,77,182,1,1,012,01,0120,20,20,11,2,0111,4,02,2,15,01,3,9,9,400,1,3700
533184022,771,53318,77,182,1,1,012,01,0120,20,20,11,2,0111,4,02,2,15,99,,,,400,1,3700
533185012,771,53318,77,182,1,1,012,01,0120,20,20,11,2,0111,5,01,2,15,01,5,9,3,10000,1,5550
533185012,771,53318,77,182,1,1,012,01,0120,20,20,11,2,0111,5,01,2,15,99,,,,10000,1,5550
533185022,771,53318,77,182,1,1,012,01,0120,20,20,11,2,0111,5,02,2,15,01,3,9,3,1250,1,5550
533185022,771,53318,77,182,1,1,012,01,0120,20,20,11,2,0111,5,02,2,15,99,,,,1250,1,5550
533186012,771,53318,77,182,1,1,012,01,0120,20,20,11,2,0111,6,01,2,15,01,5,9,3,6500,1,20350
